TENOR,Swapoint,Swapratio,Maturitydate
ON,-7.8,7.2481,29-Jun-23
TN,-7.6,7.2474,30-Jun-23
SN,-22.4,7.2444,3-Jul-23
1W,-54.2,7.2412,7-Jul-23
2W,-111,7.2355,14-Jul-23
3W,-165,7.2301,21-Jul-23
1M,-244,7.2222,31-Jul-23
2M,-485.5,7.1981,31-Aug-23
3M,-705,7.1761,28-Sep-23
4M,-952,7.1514,31-Oct-23
5M,-1175,7.1291,30-Nov-23
6M,-1386,7.108,29-Dec-23
9M,-1983,7.0483,29-Mar-24
1Y,-2511,6.9955,28-Jun-24
18M,-3203.77,6.9262,31-Dec-24
2Y,-3875,6.8591,30-Jun-25
3Y,-4425,6.8041,30-Jun-26
4Y,-4600,6.7866,30-Jun-27
5Y,-5100,6.7366,30-Jun-28
